positions_x_odom,positions_y_odom,steering_angle,Time_Sec
-0.027818, -0.030954, 0.001279, 5.293880
-0.029345, -0.036793, 0.001566, 5.284978
-0.024280, -0.041477, 0.001926, 5.257008
-0.032468, -0.028643, 0.002075, 5.295141
-0.028189, -0.028647, 0.001434, 5.297758
-0.020425, -0.002994, -0.000090, 5.363341
-0.034299, -0.028784, 0.000350, 5.355011
0.032021, -0.042522, 0.001343, 5.315980
0.232480, -0.087832, 0.000282, 5.088409
0.510643, -0.091067, -0.005074, 4.768872
1.078874, -0.149675, -0.013649, 4.225562
1.868705, -0.194853, -0.023412, 3.674266
2.807087, -0.209904, -0.027054, 2.791953
3.764395, -0.137673, -0.026333, 2.206492
4.701095, -0.123111, -0.013721, 1.751884
5.593823, -0.070647, 0.001246, 1.824643
6.535513, 0.057172, 0.032353, 2.195120
7.441702, 0.309563, 0.074603, 2.897775
8.370575, 0.529260, 0.123493, 3.793955
9.318262, 0.771118, 0.155710, 4.783480
10.306026, 0.950805, 0.150283, 5.768371
11.292963, 1.078280, 0.127308, 6.719652
12.294187, 1.106470, 0.075845, 7.635772
13.318377, 0.977103, -0.016255, 8.524250
14.330102, 0.721402, -0.122971, 9.443000
15.311299, 0.376379, -0.231440, 10.288157
16.233829, -0.093485, -0.355001, 11.079469
17.067095, -0.713549, -0.499842, 11.790947
17.749067, -1.500309, -0.662812, 12.330689
18.266676, -2.422352, -0.850722, 12.836346
18.589973, -3.461652, -1.041240, 13.268093
18.732264, -4.540589, -1.232748, 13.733932
18.679533, -5.624682, -1.413237, 14.082848
18.485554, -6.668685, -1.588561, 14.298079
18.099983, -7.632028, -1.763157, 14.347028
17.551804, -8.520299, -1.934130, 14.433025
16.495977, -9.713680, -2.165593, 14.248985
15.709584, -10.385131, -2.305872, 14.145576
14.805064, -10.942174, -2.438651, 13.888928
13.653272, -11.495179, -2.588267, 13.617166
12.409350, -11.859314, -2.731779, 13.265107
11.349896, -12.065236, -2.851009, 12.886502
10.342898, -12.077552, -2.974660, 12.647810
9.270464, -11.910061, -3.135059, 12.060780
8.290625, -11.542466, 2.957050, 11.424639
7.249019, -10.650827, 2.662522, 10.234653
6.689960, -9.712598, 2.411582, 9.242589
6.221477, -8.392857, 2.126193, 7.903906
6.056121, -7.306615, 1.935162, 6.794524
5.988728, -5.981424, 1.757697, 5.458804
5.949782, -4.687645, 1.667103, 4.208449
5.843162, -3.142506, 1.640025, 2.780040
5.560442, -1.652545, 1.686325, 1.482723
5.225481, -0.411740, 1.738741, 0.813762
4.819822, 1.020854, 1.770570, 1.683215
4.607005, 2.484307, 1.739714, 3.047283
4.447245, 3.694165, 1.691577, 4.172089
4.367181, 4.954995, 1.647269, 5.424343
4.254028, 6.183754, 1.638770, 6.657258
3.875701, 7.645591, 1.724095, 8.079408
3.372826, 8.809643, 1.827928, 9.284548
2.711059, 9.927103, 1.952186, 10.518226
1.583958, 11.093895, 2.150722, 11.869951
-0.235972, 12.024196, 2.480991, 13.346650
-1.812075, 12.319481, 2.729146, 14.280390
-2.864649, 12.296179, 2.895540, 14.854325
-4.138600, 12.088068, 3.098335, 15.359778
-5.116131, 11.715485, -3.027485, 15.697481
-6.083262, 11.168823, -2.872638, 15.951309
-7.047037, 10.422399, -2.681762, 16.121749
-7.856668, 9.535317, -2.503054, 16.168696
-8.530397, 8.378908, -2.331466, 16.151994
-9.116280, 6.706830, -2.087201, 15.837160
-9.266993, 4.898923, -1.829383, 15.159243
-8.994506, 3.332505, -1.601531, 14.537345
-8.368515, 1.919157, -1.361847, 13.659484
-7.416805, 0.706674, -1.120976, 12.620372
-5.976315, -0.371147, -0.835755, 11.279709
-4.766671, -0.842776, -0.621307, 10.103243
-3.247722, -1.029820, -0.358852, 8.709397
-1.692153, -0.873338, -0.118981, 7.254663
-0.207504, -0.521393, 0.050876, 5.803795
1.777636, -0.096555, 0.120917, 3.933278
4.002410, 0.119359, 0.065099, 2.234069
5.704969, 0.096081, -0.002178, 1.658574
7.621376, 0.051483, -0.040918, 2.447538
7.667310, 0.051089, -0.041260, 2.392565
7.655357, 0.047012, -0.041148, 2.291291
